Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
sS86,2,"Shares of Texas Instruments Inc (NASDAQ: TXN) and Maxim Integrated Products Inc (NASDAQ: MXIM) spiked higher late Friday, on a report from Reuters, that TI had held talks acquire Maxim, according to sources. TI also reportedly held talks with Freescale Semiconductor Ltd (NYSE: FSL), prior to NXP Semiconductors' (NASDAQ: NXPI) deal for Freescale.TI shares gained $0.29 Friday, to close at $54.51. Maxim shares rose more than 3%, closing at 25.56.Medtronic Acquires Aptus Endosystems for ~$110M",6/21/2015 21:13:00,Benzinga's Weekend M&A Chatter,The Rumor:,MXIM,,TXN,,,,,,,
sS86,3,"Medtronic plc (NYSE: MDT) announced Friday, it has acquired the assets of privately held medical device company, Aptus Endosystems, in a transaction valued at approximately $110 million. No other terms were disclosed.Medtronics shares lost $0.01 Friday, closing at $76.71.Williams Receives, Rejects Unsolicited All-Stock Proposal of $64.00/ShareThe Offer:Williams (NYSE: WMB) announced Sunday, that its Board of Directors has authorized a process to explore strategic alternatives following receipt of an unsolicited proposal to acquire Williams in an all-stock deal valued at $64.00 per share. The offer was contingent on Williams terminating its pending acquisition of Williams Partners L.P. (NYSE: WPZ). Williams Board determined that the offer significantly undervalues the company, based on what Williams expects to achieve on a standalone basis and through other growth initiatives, which includes its pending acquisition of Williams Partners.Williams shares lost more than 1% Friday, closing at $48.34.Posted-In: News Rumors M&A© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/21/2015 21:13:00,Benzinga's Weekend M&A Chatter,The Deal:,,,MDT,,,,,,,
WK20,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday June 18, 2015:Lumenis to be Acquired for $14.00/Share, In Cash",6/18/2015 20:06:00,"Benzinga's M&A Chatter for Thursday June 18, 2015",NA,,,,,,,,,,
WK20,1,"Lumenis Ltd. (LMNS) announced Thursday that it has agreed to be acquired by XIO Group for $14.00 per share in cash, or approximately $510 million. The deal is expected to close in September 2015. Lumenis shares rose more than 12.75% Thursday, to close at $13.62.Hearing The Deal Says Allergan May Bid for Zeltiq",6/18/2015 20:06:00,"Benzinga's M&A Chatter for Thursday June 18, 2015",The Deal:,LMNS,,,,,,,,,
WK20,2,"Shares of ZELTIQ Aesthetics, Inc. (NASDAQ: ZLTQ) spiked higher Thursday, on a report from The Deal that it could be a takeover target of Allergan plc (NYSE: AGN), according to The Deal.Spokespersons for Zeltiq and Allergan did not respond to requests for comment.Zeltiq shares gained more than 6% Thursday, to close at $70.15.Sequential Brands Near Deal to Acquire Martha Stewart Living Omnimedia",6/18/2015 20:06:00,"Benzinga's M&A Chatter for Thursday June 18, 2015",The Rumor:,ZLTQ,,AGN,,,,,,,
WK20,3,"Shares od Martha Stewart Living Omnimedia Inc. (NYSE: MSO) spiked higher, prior to being halted circuit-breaker Thursday, on a report from the Wall Street Journal that the company is close to a sale to Sequential Brands Group Inc. (NASDAQ: SQBG), according to sources. A deal could be announced in the next few days, though the terms of such a deal are not known.Martha Stewart shares gained more than 26% Thursday, closing at $6.44.Cenovus Energy In Exclusive Talks With Ontario Teachers' Pension Plan Regarding Sale of Royalty Lands ",6/18/2015 20:06:00,"Benzinga's M&A Chatter for Thursday June 18, 2015",The Rumor:,MSO,,SQBG,,,,,,,
WK20,4,"Shares of Cenovus Energy Inc (NYSE: CVE) spiked higher Thursday, on a report from Reuters the the company is in exclusive talks with the Ontario Teachers' Pension Plan regarding the sale of royalty lands in a deal that could be worth C$2.5 billion to C$3 billion, according to sources.Cenovus and the Ontario Teachers declined comment on the report.Cenovus Energy shares gained more than 4% Thursday, closing at $17.60.SL Industries Announces Non-Binding Acquisition Proposal Receipt From Handy & Harman To Acquire All Outstanding Shares for $43-$45/ShareThe Offer:SL Industries, Inc. (NYSE MKT: SLI) announced Thursday, that its independent Board members have received a non-binding proposal from Handy & Harman Ltd. (NASDAQ: HNH), to acquire all outstanding shares of common stock of SL for $43.00 to $45.00 per share. Handy & Harman, affiliate of Steel Partners Holdings L.P., owns 25.3% of SL's outstanding common stock. SL stockholders would be able to elect to receive cash or Handy & Harman stock , subject to proration so that the aggregate consideration consists of 55% cash and 45% Handy & Harman stock.SL's Board has established a Special Committee to evaluate the proposal.Shares of SL Industries closed at $40.51 on Thursday and traded at $41.70, after-hours.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/18/2015 20:06:00,"Benzinga's M&A Chatter for Thursday June 18, 2015",The Rumor:,,,,,,,,,,
nu18,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday June 17, 2015:Allergan to Acquire Kythera Biopharma for $75/Share",6/17/2015 18:17:00,"Benzinga's M&A Chatter for Wednesday June 17, 2015",NA,,,,,,,,,,
nu18,1,"Allergan plc (NYSE: AGN) and KYTHERA Biopharmaceuticals, Inc. (NASDAQ: KYTH) announced Wednesday, that Allergan has agreed to acquire KYTHERA for $75.00 per share in cash and stock, or approximately $2.1 billion. Allergan currently anticipates closing the transaction in the third quarter of 2015.Kythera shares rose 22% Wednesday, to close at $74.10.Qihoo 360 Reports Receipt of Preliminary Non-Binding Offer to Purchase Co. for $77/ADSThe Going Private Offer:Qihoo 360 Technology Co. Ltd. (NASDAQ: QIHU) announced Wednesday, that its Board) has received a preliminary non-binding proposal letter, dated June 17, 2015, from Hongyi Zhou, chairman and CEO, CITIC Securities Co. Ltd. or its affiliates, Golden Brick Capital Private Equity Fund I L.P., China Renaissance Holdings Limited or its affiliates and Sequoia Capital China I, L.P. and/or its affiliates, to acquire all of the outstanding Class A and Class B ordinary shares of the Company not owned by them or their affiliates, including Class A ordinary shares represented by American Depositary Shares, for $77.00 in cash per ADS.The Board will form a special committee to consider the proposal.Qihoo 360 shares gained more than 6% Wednesday, to close at $70.15.Hill-Rom Acquires Welch Allyn for $2.05B in Cash, Stock",6/17/2015 18:17:00,"Benzinga's M&A Chatter for Wednesday June 17, 2015",The Deal:,KYTH,,AGN,,,,,,,
nu18,2,"Hill-Rom Holdings, Inc. (NYSE: HRC) and Welch Allyn, Inc. announced Wednesday, that the Boards of Directors of both companies have unanimously approved a definitive agreement under which Hill-Rom will acquire Welch Allyn for approximately $2.05 billion in cash and stock. Welch Allyn shareholders will receive $1.625 billion in cash and approximately 8.1 million newly-issued shares of Hill-Rom common stock.The transaction is to be completed by the end of September 2015.Hill-Rom shares gained more than 6% Wednesday, closing at $55.70.Hearing Unconfirmed Market Chatter of Microsoft Bid for Salesforce",6/17/2015 18:17:00,"Benzinga's M&A Chatter for Wednesday June 17, 2015",The Deal:,,,HRC,,,,,,,
nu18,3,"Shares of salesforce.com, inc. (NYSE: CRM) rose Wednesday, on unconfirmed market chatter of a $90 per share offer from Microsoft Corporation (NASDAQ: MSFT).There have been reports since April of potential offers from Microsoft and Oracle Corporation (ORCL).CNBC's David Faber reported on May 22, that Salesforce CEO Benioff and Microsoft CEO Nadella had held significant talks, but could not agree on price. Spokespersons for Salesforce and Microsoft did not respond to requests for comment on today's rumor.Salesforce shares gained more than 1% Wednesday, closing at $74.42.Comcast Not Interested in T-Mobile Deal",6/17/2015 18:17:00,"Benzinga's M&A Chatter for Wednesday June 17, 2015",The Rumor:,CRM,,MSFT,,,,,,,
nu18,4,"Comcast Corp. (NYSE: CMCSA) is not interested in acquiring T-Mobile US Inc. (NYSE: TMUS), according to Bloomberg. A source says T-Mobile has not discussed a potential deal with with its parent company Deutsche Telekom AG (OTC: DTEGY), while Comcast doesn't want to pursue another deal so soon after its failed bid for Time Warner Cable (NYSE: TWC) and once again attract the attention of regulators.Shares of T-Mobile gained more than 2% Wednesday, closing at $39.77.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/17/2015 18:17:00,"Benzinga's M&A Chatter for Wednesday June 17, 2015",The Rumor:,,,,,,,,,,
md52,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday June 16, 2015:Blackstone, Carlyle Group in Joint Bid to Acquire NCR for $10B Including Debt",6/16/2015 18:04:00,"Benzinga's M&A Chatter for Tuesday June 16, 2015",NA,,,,,,,,,,
md52,1,"Blackstone Group LP (NYSE: BX) and Carlyle Group LP (NASDAQ: CG) are said to be preparing a joint offer for NCR Corp (NYSE: NCR), in an LBO valued at more than $10 billion, including debt, according to sources reported by Reuters. Apollo Global Management LLC (NYSE: APO) Thoma Bravo LLC are reportedly also considering offers for the manufacturer of cash registers.Activist Jana Partners took an initial stake of 7.1% in February. In April it was reported the company was exploring strategic options.Spokespersons for NCR, Carlyle and Blackstone did not respond to requests for comment.NCR shares rose 10.71% Tuesday, to close at $34.73.Hearing Unconfirmed Market Chatter of Potential Merck Bid for Alkermes",6/16/2015 18:04:00,"Benzinga's M&A Chatter for Tuesday June 16, 2015",The Rumor:,NCR,,BX,CG,,,,,,
md52,2,"Shares of Alkermes plc (NASDAQ: ALKS) spiked higher Tuesday on unconfirmed market chatter of a potential bid from Merck (NYSE: MRK). The offer is said to be $12.4 billion, according to sources.Alkermes declined comment on the rumor. Merck did not respond to request for comment.Alkermes shares gained 10% Tuesday, to close at $64.52.Metalico Agrees to Sell Company to Total Merchant for $105M",6/16/2015 18:04:00,"Benzinga's M&A Chatter for Tuesday June 16, 2015",The Rumor:,ALKS,,MRK,,,,,,,
md52,3,"The Board of Directors of Metalico, Inc. (NYSE MKT: MEA) has agreed to sell the Company to Total Merchant Limited for approximately $105 million in cash, including a payment to Metalico's stockholders of $0.60 for each share of Metalico common stock owned by them as of the date of closing.The deal is expected to close in Q3 of 2015.Metalico shares gained 48% Tuesday, closing at $0.55Details of Coty Acquisition of P&G Beauty Business to be Finalized in 2 Weeks",6/16/2015 18:04:00,"Benzinga's M&A Chatter for Tuesday June 16, 2015",The Deal:,,,,,,,,,,
md52,4,"Shares of Coty Inc. (NYSE: COTY) rose to all-time highs on Tuesday, on a report from Reuters that its acquisition of P&G's (NYSE: PG) beauty business for $12 billion may be finalized in two weeks or more, according to sources. The transaction would be completed through a Reverse Morris trust, for tax purposes.The NY Post reported on Monday, that Coty had acquired P&G's beauty products business for $12 billion.Coty shares gained more than 19% Tuesday, closing at $31.08.Cinedigm May be Attracting Bids from Multiple Suitors",6/16/2015 18:04:00,"Benzinga's M&A Chatter for Tuesday June 16, 2015",The Rumor:,PG,,COTY,,,,,,,
md52,5,"Shares of Cinedigm Corp. (NASDAQ: CIDM) Spiked higher Tuesday, on a report from Bloomberg that they have hired Evolution Media Capital to assist in handling potential offers, according to sources. Cinedigm is said to have received interest from both domestic and international entertainment companies looking to bolster their digital strategies or to gain a public stock listing, said one of the people, with at least two of the companies submitting an offer.Relativity Media is said to be one of the companies showing an interest.Shares of Cinedigm gained 4.5% Tuesday, closing at $0.92.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/16/2015 18:04:00,"Benzinga's M&A Chatter for Tuesday June 16, 2015",The Rumor:,CIDM,,,,,,,,,
pb42,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday June 15, 2015:CVS to Acquire Target's Pharmacy Business for $1.9B",6/15/2015 20:07:00,"Benzinga's M&A Chatter for Monday June 15, 2015",NA,,,,,,,,,,
pb42,1,"CVS Health Corporation (NYSE: CVS) and Target Corporation (NYSE: TGT) announced Monday, that they have entered into a definitive agreement for CVS to acquire Target's pharmacy and clinic businesses for approximately $1.9 billion. The agreement includes Target's more than 1,660 pharmacies in 47 states, as well as all new Target stores that offer pharmacy services. The pharmacies will be operated in a store-within-a-store format, to be branded as CVS/pharmacy.Timing of the deal closing is uncertain, but may occur by the end of of 2015.Target shares rose more than 1% Monday, to close at $80.45, while CVS shares rose $0.36, closing at $102.58.Niska Gas Storage Partners to Be Acquired by Brookfield Infrastructure for $4.225/Common Unit in Cash",6/15/2015 20:07:00,"Benzinga's M&A Chatter for Monday June 15, 2015",The Deal:,TGT,,CVS,,,,,,,
pb42,2,"Niska Gas Storage Partners LLC (NYSE: NKA) announced Monday that it and its managing member, Niska Gas Storage Management LLC, have entered into a definitive agreement to be acquired by Brookfield Infrastructure (NYSE: BIP) and its institutional partners for $4.225 per common unit in cash. The deal is valued at approximately $911.9 million, including the assumption of debt. The deal is expected to close in H2 of 2016.Niska Gas Storage Partners shares gained 203% Monday, to close at $3.974.iDreamSky Receives Preliminary Non-Binding Proposal of $14.00/ADS in CashThe Offer: iDreamSky Technology Limited (NASDAQ: DSKY) announced Monday, that its board of directors has received a preliminary non-binding proposal letter, dated June 13, 2015, from Michael Xiangyu Chen, Chairman and CEO, to acquire all the outstanding Class A and Class B ordinary shares of the company not owned by him or his affiliates, for $14.00 per ADS in cash.The Board has formed a special committee consisting of independent directors (the ""Special Committee"") to consider the proposal. The Board expects that the Special Committee will retain independent advisors, including independent financial and legal advisors, to assist it in this process.iDreamSky shares lost almost 10% Monday, closing at $13.13.Hearing Unconfirmed Market Chatter of Potential Google Bid for Zillow",6/15/2015 20:07:00,"Benzinga's M&A Chatter for Monday June 15, 2015",The Deal:,NKA,,BIP,,,,,,,
